sku,customer,period_date,quantity,revenue
SKU-001,Alfa Industries,2025-03-10,239,66853.08
SKU-001,Beta Manufacturing,2025-03-10,179,50069.88
SKU-001,Gamma Tools,2025-03-10,138,38601.36
SKU-001,Alfa Industries,2025-03-17,221,61818.12
SKU-001,Beta Manufacturing,2025-03-17,175,48951.0
SKU-001,Gamma Tools,2025-03-17,110,30769.2
SKU-001,Delta Corp,2025-03-17,28,7832.16
SKU-001,Alfa Industries,2025-03-24,268,74964.96
SKU-001,Beta Manufacturing,2025-03-24,210,58741.2
SKU-001,Gamma Tools,2025-03-24,112,31328.64
SKU-001,Delta Corp,2025-03-24,12,3356.64
SKU-001,Alfa Industries,2025-03-31,272,76083.84
SKU-001,Beta Manufacturing,2025-03-31,201,56223.72
SKU-001,Gamma Tools,2025-03-31,159,44475.48
SKU-001,Delta Corp,2025-03-31,5,1398.6
SKU-001,Alfa Industries,2025-04-07,212,59300.64
SKU-001,Beta Manufacturing,2025-04-07,141,39440.52
SKU-001,Gamma Tools,2025-04-07,89,24895.08
SKU-001,Delta Corp,2025-04-07,62,17342.64
SKU-001,Alfa Industries,2025-04-14,250,69930.0
SKU-001,Beta Manufacturing,2025-04-14,209,58461.48
SKU-001,Gamma Tools,2025-04-14,161,45034.92
SKU-001,Delta Corp,2025-04-14,6,1678.32
SKU-001,Alfa Industries,2025-04-21,234,65454.48
SKU-001,Beta Manufacturing,2025-04-21,135,37762.2
SKU-001,Gamma Tools,2025-04-21,90,25174.8
SKU-001,Delta Corp,2025-04-21,35,9790.2
SKU-001,Alfa Industries,2025-04-28,261,73006.92
SKU-001,Beta Manufacturing,2025-04-28,177,49510.44
SKU-001,Gamma Tools,2025-04-28,96,26853.12
SKU-001,Delta Corp,2025-04-28,36,10069.92
SKU-001,Alfa Industries,2025-05-05,258,72167.76
SKU-001,Beta Manufacturing,2025-05-05,187,52307.64
SKU-001,Gamma Tools,2025-05-05,120,33566.4
SKU-001,Delta Corp,2025-05-05,14,3916.08
SKU-001,Alfa Industries,2025-05-12,289,80839.08
SKU-001,Beta Manufacturing,2025-05-12,186,52027.92
SKU-001,Gamma Tools,2025-05-12,113,31608.36
SKU-001,Delta Corp,2025-05-12,62,17342.64
SKU-001,Alfa Industries,2025-05-19,206,57622.32
SKU-001,Beta Manufacturing,2025-05-19,131,36643.32
SKU-001,Gamma Tools,2025-05-19,110,30769.2
SKU-001,Delta Corp,2025-05-19,42,11748.24
SKU-001,Alfa Industries,2025-05-26,246,68811.12
SKU-001,Beta Manufacturing,2025-05-26,177,49510.44
SKU-001,Gamma Tools,2025-05-26,127,35524.44
SKU-001,Delta Corp,2025-05-26,42,11748.24
SKU-001,Alfa Industries,2025-06-02,228,63776.16
SKU-001,Beta Manufacturing,2025-06-02,210,58741.2
SKU-001,Gamma Tools,2025-06-02,123,34405.56
SKU-001,Delta Corp,2025-06-02,62,17342.64
SKU-001,Alfa Industries,2025-06-09,230,64335.6
SKU-001,Beta Manufacturing,2025-06-09,151,42237.72
SKU-001,Gamma Tools,2025-06-09,95,26573.4
SKU-001,Delta Corp,2025-06-09,59,16503.48
SKU-001,Alfa Industries,2025-06-16,214,59860.08
SKU-001,Beta Manufacturing,2025-06-16,150,41958.0
SKU-001,Gamma Tools,2025-06-16,82,22937.04
SKU-001,Delta Corp,2025-06-16,110,30769.2
SKU-001,Alfa Industries,2025-06-23,225,62937.0
SKU-001,Beta Manufacturing,2025-06-23,180,50349.6
SKU-001,Gamma Tools,2025-06-23,152,42517.44
SKU-001,Delta Corp,2025-06-23,85,23776.2
SKU-001,Alfa Industries,2025-06-30,261,73006.92
SKU-001,Beta Manufacturing,2025-06-30,185,51748.2
SKU-001,Gamma Tools,2025-06-30,108,30209.76
SKU-001,Delta Corp,2025-06-30,142,39720.24
SKU-001,Alfa Industries,2025-07-07,261,73006.92
SKU-001,Beta Manufacturing,2025-07-07,185,51748.2
SKU-001,Gamma Tools,2025-07-07,119,33286.68
SKU-001,Delta Corp,2025-07-07,70,19580.4
SKU-001,Alfa Industries,2025-07-14,254,71048.88
SKU-001,Beta Manufacturing,2025-07-14,188,52587.36
SKU-001,Gamma Tools,2025-07-14,134,37482.48
SKU-001,Delta Corp,2025-07-14,46,12867.12
SKU-001,Alfa Industries,2025-07-21,228,63776.16
SKU-001,Beta Manufacturing,2025-07-21,173,48391.56
SKU-001,Gamma Tools,2025-07-21,135,37762.2
SKU-001,Delta Corp,2025-07-21,35,9790.2
SKU-001,Alfa Industries,2025-07-28,249,69650.28
SKU-001,Beta Manufacturing,2025-07-28,210,58741.2
SKU-001,Gamma Tools,2025-07-28,161,45034.92
SKU-001,Delta Corp,2025-07-28,40,11188.8
SKU-001,Alfa Industries,2025-08-04,214,59860.08
SKU-001,Beta Manufacturing,2025-08-04,145,40559.4
SKU-001,Gamma Tools,2025-08-04,105,29370.6
